0.00	0.00	14.16	18.31	262.28	0.49	323.04	0.00	0.00	26.91	181.02	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.49	0.00	219.07	11.80	0.00	18.84	12.34	12.91	
5.37	0.00	0.00	0.00	19.09	0.49	17.19	59.44	0.00	18.57	0.00	0.00	0.00	
2.93	0.00	0.00	0.00	14.81	0.00	12.42	102.39	11.05	17.82	0.00	20.15	10.65	
8.33	0.00	24.17	45.12	0.00	0.00	0.00	99.62	43.85	16.36	113.76	0.00	0.00	
779.85	55.93	38.23	0.00	0.00	0.00	0.00	2.12	0.00	108.61	35.10	137.03	37.55	
13.23	0.00	34.24	62.05	0.00	0.00	0.00	152.37	0.00	24.47	18.84	67.32	26.69	
0.00	0.49	0.49	0.49	0.49	0.49	0.49	0.00	0.49	0.49	0.49	0.49	0.49	
0.00	12.69	0.00	8.19	10.07	0.00	0.00	80.61	0.00	15.06	8.42	12.32	10.48	
6.49	0.00	8.84	14.02	6.85	0.49	6.95	160.53	20.64	0.00	0.00	7.78	65.77	
10.01	162.26	0.00	0.00	37.61	0.49	7.73	133.30	16.91	0.00	0.00	25.49	34.74	
0.00	28.60	0.00	35.95	0.00	0.49	23.54	84.80	41.30	15.90	32.80	0.00	35.42	
0.00	15.47	0.00	8.11	0.00	0.49	7.87	101.63	11.80	54.18	19.28	15.88	0.00	
